cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,line_segment,axis_expansion_factor
1,compound,22.2437083333333,-0.1623016887515337,-0.2590810174468395,-0.065522360056228,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,22.4596666666667,-0.1615902629010849,-0.2588252921358563,-0.0643552336663135,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,22.675625,-0.1608528362165605,-0.258536802742502,-0.063168869690619,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,22.8915833333333,-0.1600900070528684,-0.2582164856121376,-0.0619635284935992,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,23.1075416666667,-0.1593023737649164,-0.2578652864739924,-0.0607394610558403,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,23.3235,-0.1584905347076133,-0.2574841601934662,-0.0594969092217604,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,23.5394583333333,-0.1576550882358671,-0.2570740705357828,-0.0582361059359514,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,23.7554166666667,-0.1567966327045855,-0.256635989941784,-0.056957275467387,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,23.971375,-0.1559157664686775,-0.2561708993166258,-0.0556606336207293,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,24.1873333333333,-0.1550130878830509,-0.2556797878321116,-0.0543463879339903,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,24.4032916666667,-0.1540891953026135,-0.2551636527433811,-0.0530147378618459,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,24.61925,-0.1531446870822742,-0.2546234992206458,-0.0516658749439026,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,24.8352083333333,-0.1521801615769409,-0.2540603401966411,-0.0502999829572407,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,25.0511666666667,-0.1511962171415212,-0.2534751962304523,-0.0489172380525901,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,25.267125,-0.1501934521309243,-0.2528690953883509,-0.0475178088734978,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,25.4830833333333,-0.1491724649000579,-0.2522430731422568,-0.046101856657859,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,25.6990416666667,-0.1481338538038298,-0.2515981722864429,-0.0446695353212166,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,25.915,-0.1470782171971489,-0.2509354428730734,-0.0432209915212244,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,26.1309583333333,-0.1460061534349232,-0.2502559421671642,-0.0417563647026822,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,26.3469166666667,-0.1449182608720601,-0.2495607346215476,-0.0402757871225727,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,26.562875,-0.1438151378634691,-0.2488508918724222,-0.038779383854516,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,26.7788333333333,-0.1426973827640576,-0.2481274927560524,-0.0372672727720628,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,26.9947916666667,-0.1415655939287335,-0.2473916233472062,-0.0357395645102607,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
1,compound,27.21075,-0.1404203697124058,-0.2466443770199034,-0.0341963624049081,51.829999999999984,6.72,-0.3027471149114153,0.15796742766311278,Delayed Deterioration,continuous_full_curve,1.9631089504447392
