cluster,heatwave_type,exposure,log_rr,ci_low,ci_high,display_high,common_support_high,y_min,y_max,phenotype_name,axis_expansion_factor,line_segment
1,compound,1.456,-0.0618750009050325,-0.0925018154726442,-0.0312481863374209,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.484,-0.0629609465683231,-0.0941228428503089,-0.0317990502863374,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.512,-0.064040951763027,-0.0957348509609023,-0.0323470525651516,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.54,-0.0651149044048311,-0.0973376697238995,-0.0328921390857628,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.568,-0.0661826924094227,-0.0989311290647982,-0.0334342557540472,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.596,-0.0672442036924886,-0.1005150589153048,-0.0339733484696724,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.624,-0.068299326169716,-0.1020892892135273,-0.0345093631259046,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.652,-0.0693479477567918,-0.1036536499041711,-0.0350422456094125,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.68,-0.0703899563694032,-0.1052079709387425,-0.0355719418000639,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.708,-0.0714252399232372,-0.1067520822757568,-0.0360983975707176,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.736,-0.0724536863339808,-0.1082858138809525,-0.0366215587870091,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.764,-0.073475183517321,-0.109808995727512,-0.0371413713071299,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.792,-0.0744896193889449,-0.1113214577962894,-0.0376577809816005,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.82,-0.0754968818645396,-0.1128230300760428,-0.0381707336530365,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.848,-0.0764968588597921,-0.1143135425636764,-0.0386801751559077,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.876,-0.0774894382903893,-0.1157928252644882,-0.0391860513162905,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.904,-0.0784745080720185,-0.1172607081924252,-0.0396883079516119,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.932,-0.0794519561203666,-0.118717021370347,-0.0401868908703862,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.96,-0.0804216703511207,-0.1201615948302981,-0.0406817458719433,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,1.988,-0.0813835386799677,-0.1215942586137867,-0.0411728187461487,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.016,-0.0823374490225948,-0.1230148427720749,-0.0416600552731146,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.044,-0.083283289294689,-0.124423177366476,-0.0421434012229019,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.072,-0.0842209474119373,-0.1258190924686625,-0.042622802355212,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.1,-0.0851503112900268,-0.1272024181609836,-0.0430982044190699,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
1,compound,2.128,-0.0860712688446444,-0.128572984536793,-0.0435695531524959,18.847449999999988,6.72,-0.2778093198900647,0.0856554171794287,Delayed Deterioration,1.0,solid_common_support
