"cluster","heatwave_type","activity_type","bin_left","bin_right","bar_height","total_positive_exposure_trips","display_high","common_support_high","histogram_scale"
"1","night","run","45.28925999999998","47.80532999999998","0.0017687686001459","35618.0","50.321399999999976","6.72","share"
"1","night","run","47.80532999999998","50.321399999999976","0.0017687686001459","35618.0","50.321399999999976","6.72","share"
"1","night","walk","0.0","2.5160699999999987","0.0201021955191195","35618.0","50.321399999999976","6.72","share"
"1","night","walk","2.5160699999999987","5.032139999999997","0.0108652928294682","35618.0","50.321399999999976","6.72","share"
"1","night","walk","5.032139999999997","7.548209999999996","0.0065135605592677","35618.0","50.321399999999976","6.72","share"
"1","night","walk","7.548209999999996","10.064279999999997","0.0040428996574765","35618.0","50.321399999999976","6.72","share"
"1","night","walk","10.064279999999997","12.580349999999994","0.0037340670447526","35618.0","50.321399999999976","6.72","share"
"1","night","walk","12.580349999999994","15.096419999999991","0.0018529956763434","35618.0","50.321399999999976","6.72","share"
"1","night","walk","15.096419999999991","17.61248999999999","0.0016283901398169","35618.0","50.321399999999976","6.72","share"
"1","night","walk","17.61248999999999","20.12855999999999","0.0020214498287382","35618.0","50.321399999999976","6.72","share"
"1","night","walk","20.12855999999999","22.64462999999999","0.0010107249143691","35618.0","50.321399999999976","6.72","share"
"1","night","walk","22.64462999999999","25.160699999999988","0.000729967993711","35618.0","50.321399999999976","6.72","share"
"1","night","walk","25.160699999999988","27.676769999999987","0.0004772867651187","35618.0","50.321399999999976","6.72","share"
"1","night","walk","27.676769999999987","30.192839999999983","0.0003649839968555","35618.0","50.321399999999976","6.72","share"
"1","night","walk","30.192839999999983","32.70890999999998","0.0003649839968555","35618.0","50.321399999999976","6.72","share"
"1","night","walk","32.70890999999998","35.22497999999998","0.000280756920658","35618.0","50.321399999999976","6.72","share"
"1","night","walk","35.22497999999998","37.74104999999998","0.0004211353809871","35618.0","50.321399999999976","6.72","share"
"1","night","walk","37.74104999999998","40.25711999999998","0.000140378460329","35618.0","50.321399999999976","6.72","share"
"1","night","walk","40.25711999999998","42.77318999999998","0.0001965298444606","35618.0","50.321399999999976","6.72","share"
"1","night","walk","42.77318999999998","45.28925999999998","0.0003088326127239","35618.0","50.321399999999976","6.72","share"
"1","night","walk","45.28925999999998","47.80532999999998","0.0004211353809871","35618.0","50.321399999999976","6.72","share"
"1","night","walk","47.80532999999998","50.321399999999976","0.0001123027682632","35618.0","50.321399999999976","6.72","share"
"2","compound","ride","0.0","3.5622279166666653","0.2458590763757001","41597.0","71.2445583333333","6.72","share"
"2","compound","ride","3.5622279166666653","7.1244558333333305","0.148400125009015","41597.0","71.2445583333333","6.72","share"
"2","compound","ride","7.1244558333333305","10.686683749999997","0.1029641560689472","41597.0","71.2445583333333","6.72","share"
"2","compound","ride","10.686683749999997","14.24891166666666","0.0768805442700194","41597.0","71.2445583333333","6.72","share"
"2","compound","ride","14.24891166666666","17.811139583333325","0.0265163353126427","41597.0","71.2445583333333","6.72","share"
"2","compound","ride","17.811139583333325","21.373367499999997","0.0161790513738971","41597.0","71.2445583333333","6.72","share"
"2","compound","ride","21.373367499999997","24.935595416666654","0.0096881986681731","41597.0","71.2445583333333","6.72","share"
