"cluster","heatwave_type","exposure","log_rr","ci_low","ci_high"
"2","night","57.1852333333333","0.643430792443326","-2.2599637769235863","3.5468253618102383"
"2","night","57.454975","0.6515158447370828","-2.341658297771155","3.6446899872453207"
"2","night","57.7247166666666","0.659617871881369","-2.426300759908351","3.7455365036710884"
"2","night","57.9944583333333","0.6677362451780224","-2.5139879743109446","3.8494604646669894"
"2","night","58.2642","0.6758703359288725","-2.6048196336967777","3.9565603055545226"
"2","night","58.5339416666666","0.6840195154357477","-2.6988983822993897","4.066937413170885"
"2","night","58.8036833333333","0.6921831550004869","-2.796329886345803","4.180696196346776"
"2","night","59.073425","0.7003606259249189","-2.897222905180712","4.29794415703055"
"2","night","59.3431666666666","0.7085512995108728","-3.0016893629754793","4.418791961997225"
"2","night","59.6129083333333","0.7167545470601872","-3.1098444209541833","4.543353515074558"
"2","night","59.88265","0.7249697398746905","-3.2218065500634507","4.671746029812832"
"2","night","60.1523916666666","0.7331962492562125","-3.337697604008394","4.804090102520819"
"2","night","60.4221333333333","0.7414334465065909","-3.457642892569853","4.940509785583035"
"2","night","60.691875","0.7496807029276552","-3.5817712551122165","5.081132660967527"
"2","night","60.9616166666666","0.7579373898212343","-3.7102151341857246","5.226089913828193"
"2","night","61.2313583333333","0.7662028784891662","-3.843110649119643","5.375516406097976"
"2","night","61.5011","0.7744765402332807","-3.9805976694956287","5.5295507499621905"
"2","night","61.7708416666666","0.7827577463554061","-4.122819888384941","5.6883353810957535"
"2","night","62.0405833333333","0.7910458681573811","-4.269924895224663","5.852016631539425"
"2","night","62.310325","0.7993402769410345","-4.422064248200262","6.020744802082331"
"2","night","62.5800666666666","0.8076403440081958","-4.579393545995744","6.194674234012137"
"2","night","62.8498083333333","0.815945440660703","-4.74207249876297","6.373963380084375"
"2","night","63.11955","0.8242549382003851","-4.91026499815362","6.5587748745543895"
"2","night","63.3892916666666","0.8325682079290713","-5.08413918625012","6.749275602108263"
"2","night","63.6590333333333","0.8408846211485997","-5.263867523221813","6.945636765519013"
"2","night","63.928775","0.8492035491607999","-5.449626853523487","7.148033951845086"
"2","night","64.1985166666666","0.8575243632675005","-5.641598470445925","7.3566471969809255"
"2","night","64.4682583333333","0.8658464347705395","-5.83996817881725","7.5716610483583295"
"2","night","64.738","0.8741691349717469","-6.044926355643951","7.793264625587445"
"3","compound","0.0","0.0","0.0","0.0"
"3","compound","0.08147875","-0.00196600209410469","-0.03216196310087605","0.02822995891266667"
"3","compound","0.1629575","-0.003931946898025568","-0.035857619644232105","0.027993725848180967"
"3","compound","0.24443625","-0.005897777121578849","-0.03965052516572595","0.02785497092256825"
"3","compound","0.325915","-0.007863435474580696","-0.04354509416741371","0.027818223218252315"
"3","compound","0.40739375","-0.00982886466684731","-0.04754582528704855","0.027888095953353936"
"3","compound","0.4888725","-0.011794007408194881","-0.05165728807853908","0.028069273262149315"
"3","compound","0.57035125","-0.013758806408439619","-0.055884107799303515","0.028366494982424273"
"3","compound","0.65183","-0.0157232043773977","-0.060230948076889015","0.028784539322093614"
"3","compound","0.73330875","-0.017687144024885325","-0.06470249133085769","0.02932820328108704"
"3","compound","0.8147875","-0.01965056806071869","-0.06930341683151482","0.030002280710077444"
"3","compound","0.89626625","-0.02161341919471398","-0.07403837628479933","0.030811537895371364"
"3","compound","0.977745","-0.02357564013668737","-0.07891196684277904","0.0317606865694043"
"3","compound","1.05922375","-0.025537173596455083","-0.08392870145191592","0.03285435425900574"
"3","compound","1.1407025","-0.027497962283833298","-0.08909297646678811","0.03409705189912152"
"3","compound","1.22218125","-0.029457948908638232","-0.09440903647548364","0.03549313865820718"
"3","compound","1.30366","-0.03141707618068602","-0.09988093630457698","0.03704678394320495"
"3","compound","1.38513875","-0.03337528680979292","-0.10551250019663615","0.03876192657705031"
"3","compound","1.4666175","-0.03533252350577507","-0.111307278181692","0.04064223117014185"
"3","compound","1.54809625","-0.0372887289784487","-0.11726849969613751","0.042691041739240106"
"3","compound","1.629575","-0.03924384593762997","-0.1233990245381402","0.04491133266288025"
"3","compound","1.71105375","-0.041197817093135115","-0.1297012912878524","0.04730565710158217"
"3","compound","1.7925325","-0.0431505851547803","-0.13617726336340916","0.049876093053848554"
"3","compound","1.87401125","-0.04510209283238171","-0.14282837292978923","0.0526241872650258"
"3","compound","1.95549","-0.047052282835755584","-0.14965546292685963","0.05555089725534846"
"3","compound","2.004125","-0.04821570760772729","-0.15381456198643093","0.05738314677097634"
"3","compound","2.03696875","-0.04900109787471806","-0.15665872753503585","0.05865653178559973"
"3","compound","2.1184475","-0.05094848065908534","-0.16383765145159254","0.06194069013342186"
"3","compound","2.19992625","-0.05289437389867363","-0.17119094840725343","0.06540220060990617"
"3","compound","2.281405","-0.054838720303299136","-0.1787164994107158","0.06903905880411751"
"3","compound","2.36288375","-0.05678146258277801","-0.18641129126751593","0.07284836610195992"
"3","compound","2.4443625","-0.05872254344692649","-0.19427135597834227","0.07682626908448931"
"3","compound","2.52584125","-0.06066190560556076","-0.2022917116796352","0.08096790046851368"
"3","compound","2.60732","-0.062599491768497","-0.2104663058450884","0.08526732230809442"
"3","compound","2.68879875","-0.06453524464555138","-0.21878796151936877","0.08971747222826601"
"3","compound","2.7702775","-0.06646910694654012","-0.22724832740381207","0.09431011351073182"
"3","compound","2.85175625","-0.0684010213812794","-0.23583783265674874","0.09903578989418993"
"3","compound","2.933235","-0.07033093065958546","-0.24454564730713077","0.10388378598795986"
"3","compound","3.01471375","-0.07225877749127442","-0.2533596492078642","0.10884209422531536"
"3","compound","3.0961925","-0.07418450458616252","-0.2622663984732987","0.11389738930097365"
"3","compound","3.17767125","-0.07610805465406593","-0.27125112035224974","0.11903501104411786"
"3","compound","3.25915","-0.07802937040480085","-0.2802976974823447","0.12423895667274301"
"3","compound","3.34062875","-0.0799483945481835","-0.2893886724520549","0.1294918833556879"
"3","compound","3.4221075","-0.08186506979403002","-0.298505261562253","0.13477512197419297"
"3","compound","3.50358625","-0.08377933885215665","-0.3076273806284111","0.14006870292409784"
"3","compound","3.585065","-0.08569114443237955","-0.31673368359668685","0.1453513947319278"
"3","compound","3.66654375","-0.08760042924451492","-0.3258016146613923","0.15060075617236246"
"3","compound","3.7480225","-0.08950713599837896","-0.3348074744672359","0.155793202470478"
"3","compound","3.82950125","-0.09141120740378787","-0.34372650085706047","0.1609040860494847"
"3","compound","3.91098","-0.0933125861705578","-0.3525329644847268","0.16590779214361118"
"3","compound","3.99245875","-0.09521121500850502","-0.3612002794538086","0.17077784943679855"
"3","compound","4.0440625","-0.09641224420563747","-0.3666052887914926","0.17378080038021765"
"3","compound","4.0739375","-0.09710703392506387","-0.369701231136946","0.17548716328681824"
"3","compound","4.15541625","-0.09899985379860146","-0.37801302432584527","0.18001331672864232"
"3","compound","4.236895","-0.10088930233334674","-0.3861201480906333","0.18434154342393977"
"3","compound","4.31837375","-0.10277499330623432","-0.39400843288699805","0.18845844627452937"
"3","compound","4.3998525","-0.10465654049419874","-0.40166459680870814","0.19235151582031063"
"3","compound","4.48133125","-0.1065335576741746","-0.40907629827990866","0.19600918293155944"
"3","compound","4.56281","-0.1084056586230965","-0.4162321814917185","0.1994208642455255"
"3","compound","4.64428875","-0.11027245711789903","-0.4231219144250586","0.20257700018926056"
"3","compound","4.7257675","-0.11213356693551674","-0.42973621937871564","0.20546908550768217"
"3","compound","4.80724625","-0.11398860185288424","-0.43606689599643694","0.20808969229066848"
"3","compound","4.888725","-0.1158371756469361","-0.44210683685850605","0.21043248556463381"
"3","compound","4.97020375","-0.11767890209460691","-0.447850035770979","0.21249223158176517"
"3","compound","5.0516825","-0.1195133949728313","-0.45329158894893956","0.21426479900327694"
"3","compound","5.13316125","-0.12134026805854375","-0.458427689348163","0.21574715323107552"
"3","compound","5.21464","-0.12315913512867896","-0.46325561445203334","0.2169373441946754"
"3","compound","5.29611875","-0.12496960996017145","-0.4677737078670656","0.2178344879467227"
"3","compound","5.3775975","-0.12677130632995584","-0.4719813551207347","0.21843874246082304"
"3","compound","5.45907625","-0.12856383801496668","-0.4758789540893112","0.21875127805937783"
"3","compound","5.540555","-0.13034681879213855","-0.4794678805110724","0.21877424292679531"
"3","compound","5.62203375","-0.13211986243840607","-0.4827504490615813","0.2185107241847692"
"3","compound","5.7035125","-0.13388258273070383","-0.4857298704828744","0.21796470502146673"
"3","compound","5.78499125","-0.1356345934459664","-0.48841020526756973","0.21714101837563693"
"3","compound","5.86647","-0.13737550836112833","-0.4907963144023657","0.21604529768010905"
"3","compound","5.94794875","-0.13910494125312423","-0.4928938076734792","0.21468392516723073"
"3","compound","6.0294275","-0.14082250589888873","-0.49470899002967694","0.2130639782318995"
"3","compound","6.11090625","-0.14252781607535636","-0.49624880648705383","0.2111931743363411"
"3","compound","6.192385","-0.1442204855594617","-0.4975207860441107","0.2090798149251873"
"3","compound","6.27386375","-0.1459001281281394","-0.4985329850564163","0.2067327288001375"
"3","compound","6.3553425","-0.14756635755832395","-0.499293930497693","0.20416121538104506"
"3","compound","6.43682125","-0.14921878762695004","-0.49981256350904213","0.20137498825514208"
"3","compound","6.475","-0.14998821464660764","-0.49997483011263044","0.19999840081941514"
"3","compound","6.5183","-0.15085703211095217","-0.5000981836106904","0.19838411938878606"
"3","compound","6.59977875","-0.15248070478726497","-0.5001603939215712","0.19519898434704122"
"3","compound","6.6812575","-0.154089419432823","-0.5000090477017187","0.1918302088360727"
"3","compound","6.72","-0.15484899153952522","-0.4998650731069608","0.19016709002791035"
"3","compound","6.76273625","-0.15568278982456085","-0.49965419650127335","0.18828861685215165"
"3","compound","6.844215","-0.15726042973941315","-0.4991060401682883","0.18458518068946198"
"3","compound","6.92569375","-0.1588219529543144","-0.49837487893587773","0.18073097302724894"
"3","compound","7.0071725","-0.16036697324619925","-0.4974710677778978","0.1767371212854993"
"3","compound","7.08865125","-0.16189510439200228","-0.49640497319161836","0.1726147644076138"
"3","compound","7.17013","-0.16340596016865808","-0.4951869325360253","0.16837501219870912"
"3","compound","7.25160875","-0.16489915435310118","-0.4938272160257028","0.1640289073195004"
"3","compound","7.3330875","-0.1663743007222662","-0.49233599145293494","0.15958739000840252"
"3","compound","7.41456625","-0.16783101305308776","-0.4907232916848687","0.15506126557869324"
"3","compound","7.496045","-0.1692689051225004","-0.4889989849584746","0.15046117471347378"
"3","compound","7.57752375","-0.1706875907074387","-0.48717274797370824","0.14579756655883083"
"3","compound","7.6590025","-0.17208668358483728","-0.4852540417648137","0.14108067459513915"
"3","compound","7.74048125","-0.17346579753163072","-0.483252090311147","0.1363204952478856"
"3","compound","7.82196","-0.17482454632475358","-0.48117586183228583","0.13152676918277867"
"3","compound","7.90343875","-0.1761625437411405","-0.4790340526974927","0.12670896521521174"
"3","compound","7.9849175","-0.17747940355772596","-0.4768350738668281","0.1218762667513762"
